variable_name,label,questionnaire,source_file,category,type
ST213Q03HA,Thinking of past two <test language lessons>: It was clear that the teacher likes to deal with the topic of the lesson.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST213Q04HA,Thinking of past two <test language lessons>: The teacher showed enjoyment in teaching.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST150Q01IA,"During the last month, how often did you have to read for school: Texts that include diagrams or maps",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST150Q02IA,"During the last month, how often did you have to read for school: Fiction (e.g., novels, short stories)",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST150Q03IA,"During the last month, how often did you have to read for school: Texts that include tables or graphs",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST150Q04HA,"During the last month, how often did you have to read for school: Digital texts including links",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST152Q05IA,"In your <test language lessons>, how often: The teacher encourages students to express their opinion about a text.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST152Q06IA,"In your <test language lessons>, how often: The teacher helps students relate the stories they read to their lives.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST152Q07IA,"In your <test language lessons>, how often: The teacher shows students how the information in texts builds on [...]",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST152Q08IA,"In your <test language lessons>, how often: The teacher poses questions that motivate students to participate actively.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST154Q01HA,"<this academic year>, how many pages was the longest piece of text you had to read for your <test language lessons>?",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q01HA,"When you have to read, does the teacher ask you to: Write a summary of the book or the chapter",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q02HA,"When you have to read, does the teacher ask you to: List and write a short description of the main characters",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q03HA,"When you have to read, does the teacher ask you to: Discuss in small groups with other students who read the same [...]",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q04HA,"When you have to read, does the teacher ask you to: Give your personal thoughts about the book or the chapter [...]",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q05HA,"When you have to read, does the teacher ask you to: Answer questions about the book or the chapter",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q06HA,"When you have to read, does the teacher ask you to: Compare the content of the book or the chapter with your own [...]",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q08HA,"When you have to read, does the teacher ask you to: Compare the book with other books or texts on a similar topic",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q09HA,"When you have to read, does the teacher ask you to: Select a passage you liked or disliked and explain why",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST153Q10HA,"When you have to read, does the teacher ask you to: Write a text related to what you have read",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST158Q01HA,"Taught at school: How to use keywords when using a search engine such as <Google>, <Yahoo>, etc.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST158Q02HA,Taught at school: How to decide whether to trust information from the Internet,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST158Q03HA,Taught at school: How to compare different web pages and decide what information is more relevant for your school work,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST158Q04HA,"Taught at school: To understand the consequences of making information publicly available online on <Facebook>, [...]",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST158Q05HA,Taught at school: How to use the short description below the links in the list of results of a search,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST158Q06HA,Taught at school: How to detect whether the information is subjective or biased,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST158Q07HA,Taught at school: How to detect phishing or spam emails,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST160Q01IA,How much do you agree or disagree? I read only if I have to.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST160Q02IA,How much do you agree or disagree? Reading is one of my favourite hobbies.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST160Q03IA,How much do you agree or disagree? I like talking about books with other people.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST160Q04IA,"How much do you agree or disagree? For me, reading is a waste of time.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST160Q05IA,How much do you agree or disagree? I read only to get information that I need.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST167Q01IA,How often do you read these materials because you want to? Magazines,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST167Q02IA,How often do you read these materials because you want to? Comic books,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST167Q03IA,"How often do you read these materials because you want to? Fiction (novels, narratives, stories)",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST167Q04IA,"How often do you read these materials because you want to? Non-fiction books (informational, documentary)",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST167Q05IA,How often do you read these materials because you want to? Newspapers,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST168Q01HA,Which of the following statements best describes how you read books (on any topic)?,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST175Q01IA,About how much time do you usually spend reading for enjoyment?,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST176Q01IA,How often involved in: Reading emails,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST176Q02IA,"How often involved in: <Chat on line> (e.g. <Whatsapp>, <Messenger>)",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST176Q03IA,How often involved in: Reading online news,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST176Q05IA,How often involved in: Searching information online to learn about a particular topic,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST176Q06IA,How often involved in: Taking part in online group discussions or forums,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST176Q07IA,"How often involved in: Searching for practical information online (e.g. schedules, events, tips, recipes)",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST161Q01HA,Agree: I am a good reader.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST161Q02HA,Agree: I am able to understand difficult texts.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST161Q03HA,Agree: I read fluently.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST161Q06HA,Agree: I have always had difficulty with reading.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST161Q07HA,Agree: I have to read a text several times before completely understanding it.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST161Q08HA,Agree: I find it difficult to answer questions about a text.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST163Q02HA,"In the PISA test, how do you feel about the reading tasks: There were many words I could not understand.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST163Q03HA,"In the PISA test, how do you feel about the reading tasks: Many texts were too difficult for me.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST163Q04HA,"In the PISA test, how do you feel about the reading tasks: I was lost when I had to navigate between different pages.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST164Q01IA,Usefulness for understanding and memorising text: I concentrate on the parts of the text that are easy to understand.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST164Q02IA,Usefulness for understanding and memorising text: I quickly read through the text twice.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST164Q03IA,"Usefulness for understanding and memorising text: After reading the text, I discuss its content with other people.",Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
