CNT,academic,pct_multi,pct_severe,mean_hardship,escs_mean,pct_bullied,pct_low_belong,pct_no_quiet,pct_no_desk,pct_skip,pct_threatened,n_students,oecd,name
ESP,480.39403234560416,10.071225842874748,2.897389789207935,0.884476961304751,-0.12416517739962703,23.5306852240375,12.339944253364141,7.2210482920703605,2.7565175990345505,33.26033028187963,9.339170480088919,35943.0,True,Spain
EST,525.5132010606429,15.95323676130118,5.376875275939527,1.2608047294695925,0.08047800888390644,45.10893405692811,24.4258497629422,6.742330455703545,3.0120011832455797,32.59671777802408,14.194639710115734,5316.0,True,Estonia
FIN,516.4215577594575,12.55696205142055,4.236319603210817,1.0803266133795943,0.296475880411895,39.93016868709718,21.95029722883092,4.321061709759003,7.040956824308784,21.365144726923223,13.425032161040326,5649.0,True,Finland
FRA,493.6637129456465,10.650165760852458,3.1737702658692593,0.961240845016097,-0.033792583266982035,31.753337437559264,17.437707213159456,6.211075736406571,3.2480037408081817,26.433321799433834,11.040638574242399,6308.0,True,France
GBR,503.45516061785014,20.513388176565027,7.569660986371724,1.4017719002813291,0.2711634506234007,50.62844860171049,26.165494241663367,10.473879088778096,10.654325642541252,24.243166279394412,18.011876174045284,13818.0,True,UK
GEO,386.6675007474783,17.70320159671219,7.569143724535422,1.4384464070214256,-0.4069823855895632,22.614780687030482,23.111075196679458,10.444476153635872,5.261693139156909,69.06435854041665,13.34825698522319,5572.0,False,Georgia
GRC,453.47249337353463,18.143289399907935,6.598321695787936,1.3816206837313247,-0.10963616903208936,38.56089691324737,20.749101545840144,11.995570762030006,2.565638384882007,51.098344596493995,13.192516170638962,6403.0,True,Greece
HKG,530.7078402754239,17.680937113664925,6.488205415846016,1.3260581093918495,-0.5092104218703054,45.88435932627156,32.49085374642273,21.11487908680771,10.299585766234744,9.86714700390707,12.948986009541166,6037.0,False,Hong Kong
HRV,471.8520148933406,13.23784950475263,4.613475338485017,1.0186923164898745,-0.23067086302576265,27.097104344198065,19.37512741461198,11.674543206145692,6.252006807501063,24.041216928257583,13.429232948273045,6609.0,False,Croatia
HUN,479.32700082785436,11.554126353087675,3.7836919047721165,0.9151267131659495,-0.11885461283544603,30.61713334897699,20.97355581163912,5.718145082484302,3.3454587706133543,18.600665750646613,12.257712552234572,5132.0,True,Hungary
IDN,381.9011895986189,33.44613041519933,16.061282200892744,1.9486884177604122,-1.5673444364199882,54.43669326505306,21.383019859849707,34.982721102399346,25.24684711244497,30.600039946158393,28.219520490135746,12098.0,False,Indonesia
IRL,504.6083050098816,19.072219770350674,6.62263099747145,1.3660448514446197,0.12550099163794548,42.415672505890825,23.605805591321,10.064429702688487,9.560144553701322,35.848711850630416,15.109720940229915,5577.0,False,Ireland
ISL,481.39526642499294,9.687530451231465,3.288091383384543,0.8651054408889083,0.5465637180852405,25.13986671445218,22.35150806812155,4.548571281150362,5.088091091460177,19.169563942929983,10.212942990776577,3296.0,True,Iceland
ISR,465.2154532178109,0.864431550796808,0.0,0.5961136595804136,0.34507111613802943,0.0,0.0,5.996469961717404,4.579813490676991,49.03508250564696,0.0,6623.0,True,Israel
ITA,476.9620885323632,18.391782836046442,6.10037598714503,1.3217062968959719,-0.21890996483617664,29.776795782476707,18.100235331990493,8.54046422736438,4.082602197720055,57.76099363621338,13.909538513832187,11785.0,True,Italy
JOR,416.02588123436954,41.41280119646638,22.493890352193162,2.2667282605568544,-0.6605948072021147,47.97486442655944,32.52365145334048,15.53225312818371,36.566732053905106,64.05315727656016,30.022167717136544,8963.0,False,Jordan
JPN,519.9882418589964,6.377626443468512,1.6075141302724514,0.7768186697754842,-0.09076871608048129,28.158995885752002,21.172533952007907,12.912241256271653,5.958650908308174,4.289593367736353,5.189851607472322,6109.0,True,Japan
KAZ,402.3867476695824,22.299204712778355,9.32195991059451,1.491247217164624,-0.43853926151754125,34.31878863250839,27.537037615293148,8.892493788274573,5.7102900683625615,53.509600908261405,19.15651070376233,19507.0,False,Kazakhstan
KOR,519.6641814661219,1.7931853791888133,0.29800784175869927,0.42197694334449626,0.07195614905235899,0.0,15.811790082543531,14.509316595140978,5.929084309419568,3.385641749933108,2.561861597412443,6650.0,True,Korea
KSV,361.27759565209266,24.47306840347228,9.48378909799536,1.6565817051491676,-0.46364938145904844,44.797990416436356,18.76411672568599,4.251918167560247,19.36941788958972,58.334144746025466,20.14058256961896,5058.0,False,Kosovo
LBN,376.84078811685106,0.0,0.0,0.3535915691070735,-0.5670561506318482,0.0,0.0,18.71412512447236,16.645031786234988,0.0,0.0,5614.0,False,Lebanon
LTU,479.7105601577454,19.646870898996912,7.777390988342082,1.2901771451476878,0.026726638120917797,34.564750010236054,29.68569076986472,5.322649312933906,1.2134357282423573,39.090316697197025,19.14087199629472,6885.0,True,Lithuania
LUX,476.7254269315744,12.607839056654582,4.762175063881569,1.0340337445879726,0.011233106205902104,37.8336069833776,21.52011016443535,5.91926757155053,4.295060076312045,20.624078800464304,13.211250862657414,5230.0,True,Luxembourg
LVA,487.3585310662643,25.650830267416225,9.563362924288278,1.6009372940606386,-0.00037916432016407513,54.952624453747966,30.27802198191202,7.175289809850835,1.8552412288426234,42.26029038088556,23.572261550824862,5303.0,True,Latvia
MAC,542.1240443471871,21.97878116856105,7.770528095055498,1.4977013200660805,-0.5162002532561724,50.82550263879049,36.33131115818355,19.08811202228043,9.812922688704312,15.78257580244203,17.92970769620722,3775.0,False,Macao
MAR,367.9040427158422,23.339505001760948,11.50077150812541,1.62031567650613,-1.8897126725370637,21.73625726381156,23.132037841321594,23.131633488884205,50.08482498418252,28.9538992453167,14.99291482709638,6814.0,False,Morocco
MDA,424.36074380569124,21.693432009856185,7.663542809380745,1.458362752853855,-0.5938640099207514,43.43061933606262,22.356449029545686,7.994256066308358,6.330006120192827,46.63194431438982,19.093000418886177,5367.0,False,Moldova
MEX,416.15836203613907,13.319679446526578,5.7483566762244225,1.0491332443521264,-1.1875013474305045,21.747265190809646,17.34498288623824,22.66576178541904,15.777822501444803,19.40312358817812,7.974368483122807,7299.0,True,Mexico
MKD,400.053090980366,0.0,0.0,0.0995301146063563,-0.32351701817266937,0.0,0.0,5.373490121256385,4.579521339379245,0.0,0.0,5569.0,False,N. Macedonia
MLT,458.84983264677425,29.123123327251943,11.548482152156557,1.73587954777025,0.0630890703829437,47.61642025851657,29.295828736280427,12.838711418131624,6.060428510893205,54.458029119344964,23.3185367338582,3363.0,False,Malta
MNE,421.94711559345694,22.299915732046614,9.04836230846222,1.5166166537706807,-0.18071798246976334,29.760660164611348,24.42896508172564,9.621372906162005,2.514286413805728,65.54862106465234,19.787759746111014,6666.0,False,Montenegro
MYS,430.9350415296524,29.05770239196061,12.797105953904056,1.7618479739516306,-0.7665124153038941,56.46146673024639,26.186217441848818,28.659691571489788,13.668047046515383,28.04922609567879,23.160148509383923,6111.0,False,Malaysia
NLD,502.4661759323772,5.397762379253285,1.3239763869234173,0.7140425160270094,0.2788969834931893,27.06751674163469,10.17921245684828,3.249167576394703,6.328101511475978,19.088584251929948,5.491669064417351,4765.0,True,Netherlands
NOR,496.9426313016484,11.188693398169239,3.537293182185778,0.9531596436182098,0.5424323888344187,35.97895140188726,17.1157441783863,4.882909784628679,3.6299924453260393,22.503216810376195,11.205149741216504,5813.0,True,Norway
NZL,502.90256028196023,25.07408977177372,10.196340580832489,1.5906371772703096,0.16120526973592053,50.060903117586584,27.450808811592243,10.752897953191717,14.707193065279464,33.1518632628861,22.94005151649488,6173.0,True,New Zealand
PAN,364.8137816281791,11.9629492848937,4.820578314771269,1.0137907712706478,-1.0935309139043028,14.291417222368825,18.543736439342855,14.693004878904562,22.35443779115731,24.371350753573882,7.1251300417173455,6270.0,False,Panama
