country,n_students,mean,sd,p10,p25,p50,p75,p90,p90_p10_range,pct_below_level1b,pct_level5_plus
GBR,13818,503.9281092060454,100.20990053129589,371.916384078432,435.3461985939983,506.2891804386698,574.80332182068,632.38100819665,260.464624118218,17.172448730010082,11.343942272154175
JPN,6109,503.85604130918574,97.12106521022723,374.3965447685035,438.4434000038389,507.8284043091886,572.3403363759751,626.9117993247758,252.51525455627228,16.673360476779873,10.166320820305911
AUS,14273,502.63172442266034,108.65993934029245,356.6154213744459,428.74068756741644,507.32509970649863,579.9936053447921,640.46978107754,283.85435970309413,19.49093355781195,12.935872556023002
TAP,7243,502.6011469024211,101.72780388809538,366.82728133293637,435.15485615145735,507.733184438225,575.7427618817519,629.798053719436,262.9707723864996,17.71618534490998,10.842638735654223
DNK,7657,501.129933774048,92.09460613087838,380.3585157460269,438.54622016520045,504.3955803191458,566.0961170829221,618.1133120559034,237.7547963098765,15.895537522812326,8.3242966796229
NOR,5813,499.4509562763842,105.66964730422482,356.164252954523,430.31047880941406,506.10830749823816,575.8098168962641,631.7427748543003,275.57852189977723,19.206176943236226,11.220040694999051
DEU,5451,498.27925642959156,105.74827312099069,353.8955683106907,424.1798108644849,503.78265385708903,575.8576425795785,632.2031273347653,278.30755902407464,20.561766393445467,11.224067157401521
SVN,6401,495.34561512603597,93.60449079693589,371.89167613305256,431.35704876240004,498.8363337217685,561.099428026355,613.5021016737572,241.61042554070468,17.770162056201162,7.66901400764289
BEL,8475,492.8644386038416,102.57505457155551,352.28256760494634,421.3703581633602,497.5921564482968,567.800498897104,623.4456919120662,271.16312430711986,21.119355500360037,9.453869615328307
FRA,6308,492.6064813345532,101.1749916800018,355.3577297823585,422.8495154577381,496.89970805746555,566.6068322571798,621.8412977737787,266.4835679914202,20.82630946423824,9.1225348512224
PRT,5932,491.8007851368337,96.08509936078165,362.06713610050764,425.0839042655804,497.16143336575203,561.8896680738965,612.5113155720383,250.44417947153062,20.075945496604216,7.220310966391616
CZE,7019,490.21881502637234,97.32986000606087,362.2093976685225,422.02993422029977,491.563544609034,559.8828419123116,616.3842494523137,254.1748517837912,20.591541539727416,8.16559520410803
QMR,2016,485.89486894165066,91.63414434673976,364.0075801623446,424.20614114508817,488.3566249907009,551.6362169981446,603.7973785590244,239.78979839667983,19.677283132189714,5.9293917041066235
NLD,4765,484.78372537056595,104.80636250321167,343.6802127741656,410.4109536880551,486.38857267979347,562.1491790394964,620.5020297055773,276.8218169314117,23.956253121096207,9.032479183313406
AUT,6802,484.39256851199724,99.38433061054769,349.7714644646873,412.6857430786678,488.1322527348131,557.708540685597,612.0202156283581,262.24875116367076,23.507785789786436,7.365177624482805
CHE,5822,483.92940514533905,102.71246424588153,344.6245437345867,412.7173073100488,488.0568762991705,557.7302521996555,615.1803512271192,270.5558074925325,23.550605691932436,8.034367312452275
HRV,6609,478.98915239507585,89.19797242235833,361.9513280364353,417.9327916099349,480.4684768961344,541.9443998214834,594.2973375428945,232.3460095064592,21.42770338680295,4.65440079630697
LVA,5303,478.6986741450461,90.02898423345935,359.9469900932195,415.1977026618747,480.46682493644903,542.3275489275919,594.6514349353357,234.70444484211623,22.30427174770493,4.754538470756206
RUS,7608,478.5019339949442,92.89659586638035,356.63831449736955,416.47470707958945,479.7281008393662,543.0736705677468,597.4003481567747,240.76203365940518,21.934932271893494,5.379944267159144
ESP,35943,476.5374416358476,92.7527643778373,353.2462390531479,413.2377226113933,479.2046846549051,542.5105142287142,594.7080405625318,241.46180150938386,23.04182575075991,4.795215835029294
ITA,11785,476.2846796926671,96.86751051626287,345.0872722679611,413.1270264391678,481.3325472112041,544.6218449588409,598.1644612052085,253.07718893724734,23.14875966745749,5.279438954636778
HUN,5132,475.98667224503316,97.58327508063363,345.5273212526582,406.6705758359247,479.03781799206797,547.220443503654,601.6999128272334,256.1725915745752,25.136309885592024,5.662391007334673
LTU,6885,475.87347960821205,94.30167562179149,350.5588370146387,409.5850050184186,478.90386364633935,543.2035798433939,597.0453841607083,246.4865471460696,24.226448979007365,4.9423569495699375
ISL,3296,473.9743167673447,104.71764768967145,331.6303240116782,402.42113106363746,477.42509784408537,549.3984758545178,608.6052340775157,276.97491006583743,26.220167283286404,7.0304043404676335
BLR,5803,473.7884469331522,89.40517884567537,355.16405896916643,411.99654760563016,475.41032684895043,537.9128161367164,588.7120179504719,233.5479589813055,23.252220251594057,3.9019785858216736
ISR,6623,470.41517797924433,124.46051909211378,295.8975259434098,381.15756990239504,478.5424219208072,563.3574518363612,627.7496170509594,331.8520911075496,30.96836867455126,10.325990090477337
LUX,5230,469.9853893631789,108.40323783702426,325.2085200575875,392.34654114902963,471.5278113103359,547.9235197904729,611.9411842168699,286.7326641592824,29.143787929865745,7.53590073338095
UKR,5998,465.95014814029156,93.3404604141881,339.5310671979552,404.40455684081735,471.7776893128354,531.8180721417875,582.1338541741973,242.60278697624204,25.749951372712886,3.3585458804611763
TUR,6890,465.63166649860943,87.66253220944672,350.87927316774835,404.33926777018297,465.8496382893212,526.7096942097342,580.970802208824,230.09152904107566,25.939226022022076,3.2700557116715636
QRT,5816,462.532143901033,90.94183131307618,344.8107062012678,399.13156894433007,461.79290322761915,525.5200223042838,580.7140836771188,235.90337747585096,27.766912599847615,3.681990502683844
SVK,5965,457.9839670407484,100.33218664002234,326.24835865270575,387.48020264984336,457.4784716271436,529.3511979896203,589.4803118549717,263.2319532022659,31.27856482598061,4.578484059736637
GRC,6403,457.41439470369306,97.42160660988613,326.1030625443703,390.18160146825113,459.7132609644303,526.421462028052,582.836072308238,256.73300976386776,30.341518030063387,3.6197734778553583
CHL,7621,452.27255409198017,92.01774189297076,331.2260935900307,388.633338150856,453.07927471837655,517.2345183296292,571.8211472228684,240.59505363283768,31.548005839989525,2.5626443503856926
MLT,3363,448.2347601098678,112.81443853586661,294.7550255491322,368.88755934961324,451.60229627816506,528.4916626996721,593.0972866088496,298.3422610597174,35.77334606478343,5.2784813796682295
SRB,6609,439.46634120605887,96.42017217133488,312.4456473829845,369.54823444574697,439.8448960986733,507.5483548285815,565.7636052748954,253.31795789191096,37.514024789840676,2.503989879184418
ARE,19277,431.7817694311199,113.3210657522781,283.90124519782285,348.1522311412106,428.493177620867,511.29350871719305,584.1460146487461,300.2447694509233,42.800021336906354,4.784926294175132
ROU,5075,427.7031458506447,98.37936968661165,297.33341927094307,360.63025944661547,431.23144701746986,497.21986452819436,553.5160519586586,256.18263268771557,40.656948316943115,1.416234651687001
URY,5263,427.1176181983504,95.91748875221262,299.17100383654594,360.02532594243286,427.37411202016426,495.0191879550597,552.2193090023887,253.0483051658428,41.677586341813736,1.5211091642985137
CRI,7221,426.49822500736065,81.33804301989133,322.5867164041947,369.7489379515606,424.3133057545295,482.5710217781096,533.5970296734639,211.0103132692692,41.741424015561236,0.615959865739062
MDA,5367,423.9929657378872,93.32243003182373,301.1517692157135,358.0943109358193,425.23613819645095,491.4512729614979,543.7633201596261,242.61155094391262,42.85529063903333,0.9935890265318296
MNE,6666,421.0575731980207,86.0131669269314,309.82104184659545,360.43305288707535,419.97588980332586,480.4070714018709,534.1424613830728,224.32141953647738,44.227547186949046,0.7708168817723194
MEX,7299,420.4688927711718,83.50920157756977,313.7315932028531,362.4243115865218,418.62095681323615,476.3320484065266,530.1982532713961,216.46666006854298,44.46870940985303,0.7711292960908507
BGR,5294,419.84400596424894,101.41694201948867,289.69398625424907,344.1983824377067,415.49841436533995,490.86563862917683,557.1003010474897,267.4063147932406,46.943838694277105,2.3207993342691493
JOR,8963,419.0636607101942,87.33780398238896,303.11625708309134,366.2658851485358,426.2160391484548,480.1751790075177,524.2226213875399,221.10636430444856,41.012110727067466,0.27098692932333707
MYS,6111,414.9795142062855,84.83048636645171,302.2582217484388,356.6213086068775,416.6225597994665,474.01812962725364,523.699631792909,221.44141004447022,45.617846162693105,0.47702684103490556
BRA,10691,412.8733166852495,99.64095551677238,285.84186093813145,339.8399424145017,407.58548623850186,482.1156847944527,548.103171850041,262.26131091190956,49.78085896998103,1.809941564665209
COL,7522,412.29508567556314,88.66605973566294,299.97217904659624,349.8593134448528,407.66121980294076,472.2473937462728,531.4858453609171,231.51366631432086,49.720355574136725,0.9275445063589358
BRN,6828,408.0699440193343,97.4391488570446,283.75808826004925,335.1868973380012,402.73775859902423,475.76621527341376,541.4779512610005,257.71986300095125,51.64711751932669,1.307303223812783
QAT,13828,407.09179209025706,109.61518660843451,263.55802767272564,326.33671768501733,404.8278313348175,482.6688845748839,552.2470381385723,288.68901046584665,50.74881925840774,2.584161929647343
ALB,6359,405.4293662783808,80.27534653896411,303.28309706593325,349.146612113416,403.09370876964266,459.24867704098017,510.33642797710684,207.0533309111736,52.00665563131703,0.3673295017626671
BIH,6480,402.97782126090317,79.3258298325926,302.8534021516014,345.61626921167624,399.5117425020471,457.98287448373077,508.6575527847035,205.8041506331021,53.44488542964202,0.20607577488571993
ARG,11975,401.5031088073164,97.79451959567457,274.04976335054414,333.42023700144694,402.06052230497187,470.8451591613131,529.2897539163262,255.23999056578202,51.95524448140396,0.6948920026835373
PER,6086,400.5137059341698,91.81024013075582,283.38485577405385,333.56711507493003,397.0550710051387,462.75908675583025,522.9475240706139,239.56266829656005,54.092018243789795,0.7704756544057005
SAU,6136,399.15165857859205,84.38082550265844,286.3386214023808,341.19144453690933,402.1837174569772,459.1818486866685,506.7308930934597,220.39227169107892,52.1716632215959,0.111357009972739
THA,8633,392.8886409880805,78.9209390600664,295.03905307111324,336.51643720920504,387.94106453515525,444.70697614853935,500.5563696473629,205.51731657624964,59.335865905862086,0.18382944106740046
MKD,5569,392.66776940308335,94.3052483433909,267.85395160268405,328.32958755786075,394.7019852917716,459.8126632705169,513.3484871380734,245.4945355353894,54.92187528720536,0.34242961607342653
QAZ,6827,389.3883338109914,74.05285326469865,294.4774925489288,338.39831807200875,388.53136280918835,437.7443488666878,484.67040531653265,190.19291276760384,60.20885588939877,0.14145893062227816
KAZ,19507,386.90927469955636,77.33285075027297,293.6907242554409,332.9894048392019,380.3455645481996,433.11226886249307,490.19220238810567,196.50147813266477,63.95901355889645,0.3874686932938819
GEO,5572,379.7525406463455,84.31369475173494,274.3655002582112,319.1797458863863,374.257944726794,435.92626786426507,493.2437090493977,218.87820879118647,64.16943488786859,0.22952306572841438
PAN,6270,376.9713166619761,87.79337461695019,264.64158239207393,315.0518378663618,374.2157097626459,435.70927602321706,493.31959577413727,228.67801338206334,64.13515741634706,0.207835412041985
IDN,12098,370.9653818462258,75.1234209526717,276.6213356850272,317.8708769441683,366.7723874433924,419.8692636795978,471.55470444442824,194.93336875940105,69.71293852627039,0.06102168430038067
MAR,6814,359.3878862166863,74.62107695198524,264.8307019565098,303.95046709354307,355.17419132300336,411.69622390682224,459.65321259952714,194.82251064301732,73.16960324562143,0.006426507899054897
LBN,5614,353.3553164300109,113.28861315845377,211.0246326372093,268.1667325197996,346.9711199634958,434.34315958486104,507.1901390212056,296.16550638399633,67.62658910837827,0.6964660371797856
KSV,5058,353.0654325404584,68.27926918165099,265.35501163765514,303.8084749109415,351.5953246245773,398.4534088036392,442.3763952193614,177.0213835817063,78.58223378618763,0.0
DOM,5674,341.625620743964,81.84868927482624,241.013569208403,280.9864879231674,334.0490584338641,394.7110101858162,453.3037089693753,212.2901397609723,78.93564005697607,0.09658657007277457
PHL,7233,339.6915899790141,79.8665578999845,248.08880286509117,281.0982244843503,327.0494856346841,387.6590225909872,452.8865439138015,204.79774104871035,80.49200496079789,0.0525964764326118
