country,oecd,n_students,perf_math,perf_read,perf_scie,perf,lifesat,belong,bullied,swbp,gfofail,escs_mean,z_lifesat,z_belong,z_bullied,z_swbp,z_gfofail,z_bullied_inv,z_gfofail_inv,wellbeing_composite,quadrant
CHL,1,7621,417.4065562335649,452.27255409198017,443.5825633876654,437.75389123773687,7.030678514953177,-0.10009061128522795,0.003499523115993685,0.17035171540191113,0.08443088812392217,-0.5821698493879004,-0.3423290822487087,-0.06512069078242456,-0.3390152727229566,0.32964517248490105,0.5112704624619776,0.3390152727229566,-0.5112704624619776,-0.050011958057050644,lo_lo
COL,1,7522,390.9322737403464,412.29508567556314,413.3229929738771,405.51678412992885,7.618819394800471,-0.17950645495347717,0.18191489922087883,0.24820992112369292,-0.19415027989297567,-1.18646427485846,0.6139928486053106,-0.4562405923923881,0.36103867164536485,0.6858814853654556,-0.7169514961524924,-0.36103867164536485,0.7169514961524924,0.23990931321710113,lo_hi
CRI,0,7221,402.33055860721197,426.49822500736065,415.62246211057584,414.81708190838276,7.955661999494425,0.05252540659956062,-0.018390687431752793,0.3244315911874721,-0.22761316093997683,-0.9608591530546833,1.1617017074053622,0.6865071852438768,-0.42490657072405624,1.0346299114741564,-0.8644842443027112,0.42490657072405624,0.8644842443027112,0.8344459238300326,lo_hi
CZE,1,7019,499.4676509062466,490.2188150263724,496.79131065623125,495.49259219628334,6.914327243555328,-0.2810047579336027,0.019483179568847184,-0.13170144855948737,-0.045775044613183095,-0.20939792496276785,-0.5315172110341132,-0.9561157362112831,-0.2762997042022798,-1.0523839203511176,-0.06278767243639795,0.2762997042022798,0.06278767243639795,-0.4401858981915673,hi_lo
DEU,1,5451,500.04378016676566,498.27925642959144,502.98890282349976,500.43731313995227,7.01846560738787,0.281896943763198,-0.010656097407735888,0.0745503922499168,-0.3742744163035357,-0.09678133540210719,-0.3621873708737551,1.8161529700614356,-0.3945581199761689,-0.10868897370256063,-1.51109139150428,0.3945581199761689,1.51109139150428,0.6501852273931138,hi_lo
DOM,0,5674,325.1005466395705,341.6256207439641,335.62994655771934,334.1187046470846,8.092380797108852,-0.2632288720665153,0.5192462860680811,0.3875791973445121,-0.010164556319356815,-1.0633661610541338,1.3840076021301366,-0.8685701985675799,1.6846362957805983,1.3235586143138105,0.09421354911353823,-1.6846362957805983,-0.09421354911353823,0.012029234596446173,lo_hi
ESP,1,35943,481.3926126754763,476.53744163584764,483.2520427254884,480.39403234560416,7.347071400825058,0.4633592504353089,-0.20721390924411948,0.2973402294318047,-0.1156353901518429,-0.12416517739962703,0.1721283647562225,2.7098476820133346,-1.1657981020703976,0.9106747453708068,-0.3707913003836101,1.1657981020703976,0.3707913003836101,1.0658480389188743,hi_hi
EST,1,5316,523.4145801349204,523.0170184252647,530.1080046217434,525.5132010606429,7.1902235338074725,-0.13435743004484185,0.07770773531241602,-0.18499502251369135,-0.17345961529614207,0.08047800888390644,-0.0829075631587654,-0.23388342328872158,-0.04784220912956374,-1.2962259933821103,-0.6257295058899754,0.04784220912956374,0.6257295058899754,-0.18788905296201158,hi_lo
FIN,1,5649,507.3013618181442,520.078748316689,521.8845631435396,516.4215577594575,7.614914428613441,0.011989913719915759,-0.0308023443756489,-0.11714228299979561,-0.19241999948183952,0.296475880411895,0.6076433413157148,0.48687147964050387,-0.47360657399402684,-0.9857691890004416,-0.7093229532375277,0.47360657399402684,0.7093229532375277,0.2583350318374663,hi_hi
FRA,1,6308,495.40758144403196,492.6064813345532,492.97707605835456,493.6637129456465,7.186372422335772,-0.07235511700722458,-0.07741745630850645,0.27122914192622755,0.059087179291687074,-0.033792583266982035,-0.08916950223619663,0.071475525942695,-0.6565117343462585,0.7912047749026067,0.3995339085446126,0.6565117343462585,-0.3995339085446126,0.2060977248821502,hi_lo
