CNT,ct_score,academic,math_score,read_score,scie_score,ESCS,CREATSCH,CREATEFF,CREATACT,CREATOR,CREATOPN,TEACHSUP,BELONG,DISCLIM,n_students,quadrant
MAC,31.62055907903631,535.141518732654,551.9231530646219,510.40512194014326,543.0962811931971,-0.44889412102099785,0.14094281600531008,-0.2765063645267595,0.26194193880984495,-0.32690566558816964,-0.41895529814749705,-0.00016885725997443316,-0.3115368151164352,0.3767935117788923,4384.0,Both
MAR,15.479404721954154,356.5097471408146,364.7662406960326,339.36492494179,365.39807578462137,-1.7845360016671208,0.028993589681673353,0.042027630817543384,,,,0.06002906875506177,-0.2860639334740473,-0.3382340878575146,6867.0,Low Both
MDA,23.94627281718477,413.9974790234403,414.1980631976305,410.93539880162785,416.8589750710623,-0.522542343064163,0.2148515411458742,-0.0028838739921306458,,,,0.12576657345510775,-0.05959782104855741,-0.014796639395387534,6235.0,Low Both
MEX,28.989713995368934,406.7584932093165,395.0299192187101,415.3589621469032,409.88659826233635,-0.9524373255716473,0.39697465326171044,0.10965023817602408,,,,0.44158925533922117,-0.18321320726496382,0.21093321480896518,6288.0,Creators
MKD,19.108959552682602,375.65757847708096,388.575506783262,358.52212249051536,379.87510615746544,-0.27981664973100984,0.27528497746734015,0.16245595195982385,,,,0.22089684112157007,0.1200434333519265,0.06309509236038598,6610.0,Low Both
MLT,31.317747063532835,458.96789663890763,466.0161129110568,445.29883840665224,465.5887385990138,0.01924946963891799,-0.013313706624856994,0.018090335762128706,,,,0.13385034654639968,-0.2370230769002816,-0.1992719481346571,3127.0,Both
MNG,24.916195362931763,405.131846396191,424.59312854284474,378.41987381158583,412.38253683414257,-0.7291488625589954,-0.05381300905289899,0.002533055135494522,,,,-0.18796963677238712,-0.15041731595743,-0.08600714750365943,6999.0,Low Both
MYS,25.113480256915732,404.3604520306745,408.68743219425636,388.08780811528067,416.30611578248653,-0.6848914977984744,0.25296446891299235,-0.28544724925715687,,,,0.3323785024055008,-0.27277064930768125,0.20532727293656108,7069.0,Low Both
NLD,32.38672930647459,480.0784610656143,492.6756389784962,459.242908056442,488.3168361619046,0.2534607822800931,-0.14361416116111048,-0.050956114105099835,,,,-0.36355178397577065,0.10237876017937664,-0.14964492838635085,5046.0,Both
NZL,36.42622885926832,494.6855030647319,479.07419345237787,500.8530109556955,504.1293047861225,0.21906359919765708,0.05551410706055304,-0.06877365068435168,,,,0.08240402460382272,-0.2878446314429587,-0.3295972326128722,4682.0,Both
