CYCLE,CNT,CNTSCHID,N_STUDENTS_SAMPLED,SUM_W_FSTUWT,MEAN_MATH,MEAN_READ,MEAN_SCIE,SD_MATH,SD_READ,SD_SCIE
2022,MYS,45800080.0,4,446.5141,406.49190501787064,361.0695342003533,387.10845577129595,37.812879207509496,58.784253036080116,22.682319418877782
2022,MYS,45800081.0,39,2812.70267,356.58301702273957,344.0675395843159,370.397142298713,62.25126703665737,77.22157169809671,69.73641444274773
2022,MYS,45800082.0,39,1893.6617700000002,403.95188241309694,397.3916502805562,425.3514354412129,60.17333423061821,71.48833198691928,61.0931252638023
2022,MYS,45800083.0,40,1739.24454,495.0020122126391,476.941783898569,503.4549558964176,37.94793744903629,43.78495948001902,34.08026599381319
2022,MYS,45800084.0,35,1952.6083099999998,371.1627980608999,360.8758045806678,377.00450658535965,49.51633184911682,74.5623732243175,67.39943714778704
2022,MYS,45800085.0,34,2077.14848,399.4010057565245,405.85127698326943,415.90584045142407,51.6089612813594,58.14378635756781,54.94470198965339
2022,MYS,45800086.0,40,1724.8808,458.48987999999997,451.0463675,473.64714250000003,40.91989405564976,37.95888647254676,41.87637316068505
2022,MYS,45800087.0,29,1487.28099,563.6903280020489,523.3155599431255,566.0013139026386,62.52209577335136,58.81330172327857,63.86356841855153
2022,MYS,45800088.0,41,2108.05309,413.3261377392341,409.4427390158244,429.32359351592237,65.2510895985445,73.98614207796643,65.29129308724063
2022,MYS,45800089.0,37,2202.6331,400.13077708481273,367.97387506207,409.6695980001799,58.86460080997279,74.09201112187388,66.65619015621283
2022,MYS,45800090.0,37,2047.38334,385.43539651037213,385.9814249879732,407.9942929430304,49.83823285183339,65.51770719235688,55.4075409378508
2022,MYS,45800091.0,28,1902.7692299999999,393.69555683099685,365.11463306304626,392.68816908272794,59.16916640222932,81.11393731188441,58.31065166755838
2022,MYS,45800092.0,38,2021.53682,409.52186690612393,402.7032760583866,409.91957244739723,50.99848636671678,72.36902677780643,60.30814903442946
2022,MYS,45800093.0,38,1930.02145,419.85830203539297,330.41324899157,389.90266791088095,59.23363128926275,78.7778079780863,64.65285908211126
2022,MYS,45800094.0,41,2399.00261,378.7112703892073,357.19285392736316,375.1676028103188,65.90456434173335,77.7675929567649,70.4869857229702
2022,MYS,45800095.0,37,2264.3877899999998,425.1549648648649,420.1656135135135,452.17230540540544,53.32258391257527,69.7860834713858,56.17221571951716
2022,MYS,45800096.0,39,1869.28738,452.19266324318414,455.45200563951596,479.36845389013,35.075079292362645,40.946446203761354,40.05070956782326
2022,MYS,45800097.0,38,2323.68081,386.690582675791,392.3416820517389,411.6885523379195,47.46151738387015,66.97554563962187,53.23304865720776
2022,MYS,45800098.0,39,2202.53593,435.9936047316527,419.24561539730473,447.00629382970794,67.13448054853613,75.33376612286233,70.60344905425036
2022,MYS,45800099.0,34,1941.00178,346.8055382393188,339.8632043876225,360.55595147953807,44.40984567062205,56.85286898238774,44.35592579857897
2022,MYS,45800100.0,36,709.6161599999999,441.838861333685,445.5253515692596,451.7200132793706,47.27613990731108,59.20951152644594,58.79703566344159
2022,MYS,45800101.0,39,1709.8541300000002,416.783652818991,400.86318194205666,426.4273582483004,54.89341595789612,63.7309237641725,58.78659873571282
2022,MYS,45800102.0,34,1614.7807599999999,373.8276440842855,358.30250180379534,386.3092912318202,53.78619430020267,70.9967791327061,64.73874675044534
2022,MYS,45800103.0,4,395.81516,529.108325,455.55765,505.52020000000005,70.50110706908703,60.69604382200287,64.99854300332437
2022,MYS,45800104.0,38,1953.11774,397.83173582514235,380.1514037541101,420.98145458753913,61.23014443798763,67.49509759184848,56.3036985124065
2022,MYS,45800105.0,33,1971.85504,382.2284585919105,380.9441788931878,391.7303974222233,61.098957853624505,74.92690326243435,66.8661354553029
2022,MYS,45800106.0,41,2469.39997,438.1199825916958,377.90282821774434,425.1857117540206,82.27937690126721,85.66254004393232,83.23282509493052
2022,MYS,45800107.0,36,2424.37746,388.40474635976074,356.72749670762323,386.830276816521,58.01810550022315,64.13903417851313,64.98991104971155
2022,MYS,45800108.0,42,2238.2619,417.59359047619046,326.6228952380952,392.2274738095238,56.958161057196435,59.72831098707736,53.75283660250189
2022,MYS,45800109.0,41,2474.71128,469.9772144633829,473.5298422483431,499.605042339274,45.82889608094365,52.2982448209166,41.17645509814521
2022,MYS,45800110.0,28,1772.78818,365.886981272563,341.3658031895559,375.0215533813876,57.64792572487119,72.19099685371901,60.70288620385663
2022,MYS,45800111.0,37,4187.05212,570.3954842584085,518.4096576797539,554.5162726184903,95.50929941730875,89.4815191215521,92.62951926676608
2022,MYS,45800112.0,38,2306.55649,427.4629106194546,422.036913869457,441.86396733556785,66.94587375253013,69.10329993348267,61.6711931455716
