CNT,academic,share_omit,share_fast_right,share_slow_right,share_fast_wrong,share_slow_wrong,speed_style,n_students,oecd,name
DEU,500.43731313995227,6.676040598906708,25.142032780219125,31.410923669944957,17.41259700810394,19.358405942825264,44.428931980197405,5451.0,True,Germany
DNK,501.0551138758421,4.707295216583961,26.33421929343522,31.45729120926169,18.006125783378764,19.495068497340373,45.53417982872451,7657.0,True,Denmark
DOM,334.1187046470846,17.920778743646395,8.439577565493748,17.886262485627338,21.993548859712867,33.759832345519655,32.08248541412995,5674.0,False,Dom. Rep.
ESP,480.4124254219468,6.555542023547338,24.40237263928423,29.849020651396856,19.540936210452244,19.65212847531933,45.282409863793944,35926.0,True,Spain
EST,525.5132010606428,3.815294381972497,27.742500486038217,34.0426316089432,15.630473037580076,18.76910048546601,44.8094844570292,5316.0,True,Estonia
FIN,516.4215577594575,4.956025486336019,28.73009265167529,31.989675635078342,17.180281848977128,17.143924377933224,47.57162775646156,5649.0,True,Finland
FRA,493.6637129456465,7.552327789752702,24.605956654828674,30.347517154608028,17.671904087664323,19.822294313146273,44.52536810446003,6308.0,True,France
GBR,503.45689924366593,4.760125217737703,33.00086651813088,25.206755823047118,21.392917180143655,15.639335260940651,56.575173836858305,13816.0,True,UK
GEO,386.6675007474783,11.93401407959615,14.70743032094143,20.907510527681364,27.13812186976717,25.312923202013888,43.43091481904295,5572.0,False,Georgia
GRC,453.4737918502587,6.959003980365617,21.71323073940547,28.073599869396404,22.332677161475285,20.921488249357218,44.64122226202008,6402.0,True,Greece
HKG,530.7280987347011,2.7908130246182274,47.72943461509796,15.788429012524213,25.378405974168977,8.312917373590617,75.12898324395478,6029.0,False,Hong Kong
HRV,471.897565894379,4.8449345227370495,26.125321254446693,28.074856711945134,20.445826991243703,20.509060519627432,48.56804625708903,6607.0,False,Croatia
HUN,479.32700082785436,4.372182217289818,23.35361157292972,31.423296163163084,18.695410498747453,22.155499547869937,42.90634511366477,5132.0,True,Hungary
IDN,381.8771414524262,4.039766644052067,15.88941702926763,21.1167666194665,30.482503937710632,28.47154576950318,44.3697404796646,12094.0,False,Indonesia
IRL,504.6083050098816,4.257877818061802,28.466115212326375,29.49105855844902,18.3260977412177,19.45885066994511,48.653448973841606,5577.0,False,Ireland
ISL,481.39526642499294,7.998898216971037,23.820831971562644,28.53914813052192,20.65296109276185,18.988160588182563,46.589160688906155,3296.0,True,Iceland
